1387286073.dat<>お前らのモットー晒してけ (76)
1651244124.dat<>ちょっと男子ｨ……  (2)
1531401751.dat<>【早川林香】 ともかりん 【大久保朋美】 	 (36)
1346852869.dat<>有名な名言を論破するスレ (90)
1300012505.dat<>最後のひと言で台無しな名言集 (108)
1347253041.dat<>（　＾ω＾）・・・ (94)
1283145471.dat<>ほんとだよ (114)
1594617566.dat<>ユダヤ教の名言を書くスレ  (20)
1268706382.dat<>憂さ晴らしの名言 (125)
1473642734.dat<>エンタメに関する名言　格言 [無断転載禁止]&#169;2ch.net	 (60)
1362572540.dat<>【盛者】驕れる牧師久しからず【必衰】 (99)
1545110138.dat<>おい！！！！！ 	 (38)
1553663727.dat<>「最初から出来る人」 	 (36)
1356080511.dat<>雪とレインコートが結ぶ名言がここにはあった！！ (107)
1458026657.dat<>いい名言・格言を教えてください [無断転載禁止]&#169;2ch.net	 (71)
1607185353.dat<>世界各国のことわざ、格言を捏造するスレ  (18)
1624720275.dat<>【名言】価値観が変わったと思う名言挙げてけ  (12)
1464418261.dat<>勇気ややる気になる名言！ [無断転載禁止]&#169;2ch.net	 (71)
1338679495.dat<>死ぬほどカッコいいけど死ぬほどどうでもいい名言 (120)
1620426031.dat<>新田恵海の名言・格言  (14)
1612703569.dat<>名言・格言などを上げるスレ  (17)
1348059522.dat<>おまいらが最期に言っておきたいこと書いてけ (121)
1329029317.dat<>相場師・投資家・投機家・トレーダーの名言 (130)
1274113708.dat<>ことわざを現代風にせよ！ (157)
1274488366.dat<>一行の教訓、名言 (161)
1332508016.dat<>座右の銘を自分で作ってみよう! (137)
1641128658.dat<>俺を満足させる名言出したやつ勝ち  (8)
1350695495.dat<>「負けるが勝ち」の生き残り戦略 (135)
1420329137.dat<>偽税理士吉川隆二詐欺師コンサル脱税 [転載禁止]&copy;2ch.net	 (106)
1380840720.dat<>名言から言葉を抜いて一番面白くした奴優勝 (129)
1320570470.dat<>告白する勇気が出る名言くださいな (159)
1503318582.dat<>思いついた名言やかっこいいセリフを挙げてこう [無断転載禁止]&#169;2ch.net	 (75)
1364815546.dat<>ゆめからの言伝 (150)
1298206129.dat<>【企業】経営者の名言【理念】 (183)
1295441399.dat<>「これ間違ってるだろ」と思う格言 (187)
1282676222.dat<>自分のことを好きになれる名言・自信がもてる名言♪ (205)
1350564976.dat<>前向きになる名言 (169)
1268931700.dat<>くだらねえ言葉 (219)
1291980233.dat<>現実に当てはまる格言・ことわざ (208)
1384023386.dat<>飯窪さんの名言 (157)
1322218342.dat<>　そ　　ら　　そ　　う　　よ (193)
1282277831.dat<>かっこいい言葉をあげるスレ (221)
1322895578.dat<>【Putin】 プーチン語録 【Путин】 (213)
1270466965.dat<>身近に使えそうな名言 (247)
1486630749.dat<>名言作ろ [無断転載禁止]&#169;2ch.net	 (114)
1331731794.dat<>一番理不尽なセリフ言った奴優勝 (222)
1289472848.dat<>どんな文章も語尾に「国家も同じである」をつけると (270)
1556364919.dat<>ただいまより訓示を行なう！！ 	 (76)
1406987600.dat<>俺、私の人生の名言 (197)
1389666171.dat<>あんたらの人生一言で言い表してみてよ (213)
1606475300.dat<>交通標語の名言  (40)
1275006533.dat<>セックスにまつわる名言・格言を作る (322)
1648882394.dat<>かっこいい言葉とか言い回し  (6)
1561735739.dat<>覆水盆に返らず 	 (84)
1268209540.dat<>映画の中の名言をあげるスレ (353)
1310541022.dat<>探している名言がある (318)
1471338388.dat<>人権や犯罪に関する格言 [無断転載禁止]&#169;2ch.net	 (189)
1347510506.dat<>＊＊＊＊　心が美しくなる名言集　＊＊＊＊ (337)
1271109372.dat<>【寄生虫】斎藤佑樹迷言集【半価値王子】 (420)
1268209406.dat<>意味深な言葉 (471)
1541642094.dat<>福田恒存の名言【読売文学賞・芸術選奨・芸術院会員 	 (142)
1587080607.dat<>思いついた名言を書くスレ　1  (91)
1400383509.dat<>人生の名言 (372)
1649315779.dat<>めっちゃ深そうだけど浅い名言立てた人優勝  (10)
1475725494.dat<>迷言(((o(*ﾟ▽ﾟ*)o))) [無断転載禁止]&#169;2ch.net	 (268)
1410265047.dat<>「金がすべて」とか言うガキを論破する方法教えて (373)
1556775956.dat<>アドルフ・ヒトラーの名言 	 (155)
1384022417.dat<>ゆうかりんの名言 (447)
1277082922.dat<>身近な人が言っていた名言・格言 (626)
1653168443.dat<>ジョジョの名言挙げてこ  (4)
1522090205.dat<>他板に投稿された、興味深い格言の転載スレ　5 	 (275)
1520184695.dat<>他板に投稿された、興味深い格言の転載スレ　2 	 (290)
1272337274.dat<>◎●○三島由紀夫の名言・格言○●◎ (853)
1524579725.dat<>他板に投稿された、興味深い格言の転載スレ　9 	 (297)
1519549526.dat<>他板に投稿された、興味深い格言の転載スレ 	 (310)
1630894300.dat<>24時間暇人　みい  (56)
1523351005.dat<>他板に投稿された、興味深い格言の転載スレ　6 	 (304)
1522056605.dat<>他板に投稿された、興味深い格言の転載スレ　4 	 (307)
1520944349.dat<>他板に投稿された、興味深い格言の転載スレ　3 	 (319)
1382573151.dat<>前の人のＩＤを格言ふうに訳してみるスレ3 (649)
1523368847.dat<>他板に投稿された、興味深い格言の転載スレ　7 	 (315)
1524544931.dat<>他板に投稿された、興味深い格言の転載スレ　8 	 (314)
1524633088.dat<>他板に投稿された、興味深い格言の転載スレ　10 	 (346)
1543855957.dat<>他板に投稿された、興味深い格言の転載スレ　16 	 (309)
1340333065.dat<>戸井(101)番ＧＥＴしたら報告するスレ2 (894)
1553021138.dat<>役に立ちそうなレスを転載するスレin名言板　その53 	 (294)
1549454140.dat<>役に立ちそうなレスを転載するスレin名言板　その49 	 (305)
1525232371.dat<>他板に投稿された、興味深い格言の転載スレ　11 	 (383)
1541330938.dat<>他板に投稿された、興味深い格言の転載スレ　14 	 (337)
1552848097.dat<>役に立ちそうなレスを転載するスレin名言板　その52 	 (318)
1551338422.dat<>役に立ちそうなレスを転載するスレin名言板　その51 	 (324)
1549959265.dat<>役に立ちそうなレスを転載するスレin名言板　その50 	 (330)
1527786346.dat<>他板に投稿された、興味深い格言の転載スレ　13 	 (400)
1526571272.dat<>他板に投稿された、興味深い格言の転載スレ　12 	 (406)
1644109949.dat<>安価で名言つくる  (35)
1566020594.dat<>役に立ちそうなレスを転載するスレin名言板　その58 	 (301)
1565153068.dat<>役に立ちそうなレスを転載するスレin名言板　その57 	 (314)
1548922986.dat<>役に立ちそうなレスを転載するスレin名言板　その48 	 (373)
1564334683.dat<>役に立ちそうなレスを転載するスレin名言板　その55 	 (323)
1567067029.dat<>役に立ちそうなレスを転載するスレin名言板　その59 	 (316)
1563461264.dat<>役に立ちそうなレスを転載するスレin名言板　その54 	 (340)
1568030635.dat<>役に立ちそうなレスを転載するスレin名言板　その60 	 (335)
1568457836.dat<>役に立ちそうなレスを転載するスレin名言板　その61 	 (358)
1570697807.dat<>役に立ちそうなレスを転載するスレin名言板　その62 	 (354)
1559561520.dat<>他板に投稿された、興味深い格言の転載スレ　17 	 (403)
1530472332.dat<>今日のしにたいスレ 	 (550)
1575976602.dat<>他板に投稿された、興味深い格言の転載スレ　18 	 (378)
1601469924.dat<>富野由悠季の名言　その2  (262)
1464504090.dat<>名言書くスレ [無断転載禁止]&#169;2ch.net	 (963)
1604054296.dat<>役に立ちそうなレスを転載するスレ　その85  (330)
1604065963.dat<>役に立ちそうなレスを転載するスレ　その86  (350)
1601460545.dat<>富野由悠季の名言  (370)
1483169775.dat<>「・・・うん。」ってなる名言書いてけ [無断転載禁止]&#169;2ch.net	 (56)
1632401263.dat<>赤子の手とはティラノサウルスのこと。  (21)
1598850733.dat<>伝説人物の名言集4  (2)
1469181419.dat<>タカラスタンダード人事部山田を解雇する方法 [無断転載禁止]&#169;2ch.net	 (9)
1481409884.dat<>スレ立てテスト2&#169;2ch.net	 (12)
1296353789.dat<>◆三島由紀夫の遺訓◆ (506)
1639970852.dat<>人類史上一番有名な言葉。  (1)
1462492712.dat<>ハゲ侍　ニコニコ生放送 ツイキャス ゲーム実況者 [無断転載禁止]&#169;2ch.net	 (12)
1630794105.dat<>アホのmurakaMI  (2)
1502165779.dat<>昭恵サンの名言集 [無断転載禁止]&#169;2ch.net	 (12)
1626283599.dat<>身長173cmの言うことは信用するな  (1)
1545979381.dat<>●霊聴：あらゆる音で考える例(霊)の音スレ 	 (3)
1359219438.dat<>チッツマン (18)
1491639835.dat<>●淫夢関係での名言・格言を決めるスレ●！ [無断転載禁止]&#169;2ch.net	 (8)
1530291597.dat<>【毒入り危険】食べたら死ぬナリ 	 (8)
1419295375.dat<>スレ立てテスト&copy;2ch.net	 (627)
1468827693.dat<>やろうや　　　 [無断転載禁止]&#169;2ch.net	 (6)
1504149602.dat<>賢者のコラム [無断転載禁止]&#169;2ch.net	 (11)
1514294450.dat<>マイナーな趣味を持ってる人来てください 	 (4)
1483547224.dat<>ポケモン実況の名言教えて [無断転載禁止]&#169;2ch.net	 (6)
1563120099.dat<>スレ立てテスト3 	 (22)
1325417638.dat<>寺山修司 (26)
1325143091.dat<>名言だけを使って&gt;&gt;1と喧嘩するスレ (21)
1311846720.dat<>好きなアイドルとか出来たことがない (26)
1375723045.dat<>小木博明「指原莉乃は大嘘つきのオオカミ少女」 (20)
1502066783.dat<>人事が吃音のある人を採用できない理由 [無断転載禁止]&#169;2ch.net	 (7)
1599557807.dat<>小学校のころあったこいしちゃん係みたいなの  (1)
1470239901.dat<>マンガの名言・名セリフ [無断転載禁止]&#169;2ch.net	 (14)
1598802504.dat<>今日は残りの人生の最初の一日って、、、  (1)
1537454349.dat<>にゃ！ 	 (9)
1498226378.dat<>【感動】脳性まひの22歳が書いた詩が深すぎる… [無断転載禁止]&#169;2ch.net	 (4)
1577438020.dat<>2019年　名言・迷言＆暴言　大賞発表  (4)
1464092656.dat<>迷言でもある名言を残していくスレ [無断転載禁止]&#169;2ch.net	 (11)
1538921944.dat<>・GAMEを作る流れのロマン性スレ　■注目！■ 	 (3)
1588592571.dat<>■■■■■■■■■(親の名言)■■■■■■■■■  (5)
1479284454.dat<>積極的思考 [無断転載禁止]&#169;2ch.net	 (10)
1480252389.dat<>これ誰か論破して&amp;#8252; [無断転載禁止]&#169;2ch.net	 (14)
1575000420.dat<>馬鹿な奴ほど可愛いの正体と私の本当の役目 	 (2)
1392734573.dat<>だーいしこと石田亜佑美ちゃんの名言 (17)
1393916132.dat<>◆名言・格言板の自治・雑談・質問・スレ立て依頼 (22)
1500141303.dat<>絶対勝てない [無断転載禁止]&#169;2ch.net	 (5)
1568360155.dat<>前向きな言葉名言集・格言・ことわざ集 	 (2)
1575185449.dat<>受け手が知っている事は登場人物全員知っている 	 (1)
1544040360.dat<>スレ立て 	 (25)
1564719773.dat<>役に立ちそうなレスを転載するスレin名言板　その56 	 (309)
1559113279.dat<>パートのおばちゃんに適したお土産 	 (3)
1485087972.dat<>大阪　嫌い　 [無断転載禁止]&#169;2ch.net	 (46)
1557593072.dat<>物語作るときはなんにせよ平行世界の事実に 	 (6)
1550096098.dat<>バレンタインなんて嫌いだ‥ 	 (6)
1476170191.dat<>【スケットダンス】SKET DANCEの名言【篠原健太】 [無断転載禁止]&#169;2ch.net	 (6)
1543133469.dat<>他板に投稿された、興味深い格言の転載スレ　15 	 (328)
1392656363.dat<>工藤遥の名言 (17)
1549034906.dat<>ごチャンネルの使い方が分からない 	 (2)
1507118840.dat<>勝者とは夢を諦めない人間のことだ 	 (4)
1540962267.dat<>勉強をサボりたくなる名(迷)言ってないの？ 	 (4)
1409974329.dat<>女神ヒロイン七海千秋さんの名言名セリフ (18)
1527479227.dat<>スーツでリュック背負ってる奴は無能 	 (5)
1500675785.dat<>このハーーーーーーゲーーーー [無断転載禁止]&#169;2ch.net	 (7)
1462462229.dat<>宇宙開発にまつわる名言 [無断転載禁止]&#169;2ch.net	 (11)
1377904054.dat<>＜フィジカ＞の格言 (12)
1471922590.dat<>アイロンをかけてくれ [無断転載禁止]&#169;2ch.net	 (7)
1541141961.dat<>●成仏はなし：成仏できない理由スレ 	 (2)
1393913972.dat<>生田衣梨奈の名言 (20)
1372348004.dat<>【オヘ゜is下層】ｻｸﾗの格言【社員システムgood】 (22)
1366901302.dat<>【急募】これに似た名言を教えてください！【名言】 (19)
1356956830.dat<>メルヘンにリアリティを突きつけてディスるスレ (13)
1347626012.dat<>サッカー真理教　中田尊師の教え  (24)
1343651321.dat<>家田 (13)
1329641142.dat<>名言書いてってそれにコメントしていくスレ (24)
1326567540.dat<>ちょりを (13)
1325677581.dat<>◆◆..最高の！ ジョーク..◆◆ (26)
1323868035.dat<> 【ショウ君】しゃべらせたい言葉たち【合成音声】 (22)
1488956440.dat<>今ふと考えた名言を貼り付けるスレ [無断転載禁止]&#169;2ch.net	 (3)
1478032820.dat<>&amp;#128512;&amp;#128526;感動&amp;#128519;&amp;#129303; [無断転載禁止]&#169;2ch.net	 (3)
1474095864.dat<>この名言言った人、誰か知らないか？ [無断転載禁止]&#169;2ch.net	 (6)
1469680904.dat<>世間にない迷言集発表会 [無断転載禁止]&#169;2ch.net	 (13)
1466223163.dat<>【知恵袋】回答が秀逸。「女上司の言動に毎日悩ま [無断転載禁止]&#169;2ch.net	 (4)
1477052716.dat<>乱世に文化人は無用 [無断転載禁止]&#169;2ch.net	 (8)
1493799112.dat<>実体験した名言スレ [無断転載禁止]&#169;2ch.net	 (5)
1493298499.dat<>逆引き名言 [無断転載禁止]&#169;2ch.net	 (3)
1506566282.dat<>聖子のディナーショーチケットが大量売残りよ！ [無断転載禁止]&#169;2ch.net	 (2)
1318846683.dat<>「能ある鷹は爪隠す」は賞味期限切れてる (20)
1521194610.dat<>Ｃooｋie賛成派は内情通達すべきスレ 	 (3)
1519366590.dat<>コピーライティング特定される 	 (5)
1507542523.dat<>恒心教名言・格言分教会 	 (5)
1531009652.dat<>立て無頼ね（クレヨンしんちゃんなんて見ないよ） 	 (2)
1531424479.dat<>●白状の心理【ﾊｯｸｼｭﾝ!!白状！北海道！】 	 (2)
1532194234.dat<>負けたばこ■：時間落第生スレ(のしぼぽ 	 (2)
1536340827.dat<>報告 	 (3)
1539790460.dat<>●人宝を失うスピリチュアルな(霊かえり)スレ 	 (1)
9245000000.dat<>★ 5ちゃんねるからのお知らせ (6)
